OpenMP: Using 16 of 16 threads
2139 valid sequences out of 2139 
52 sites
Effective number of samples: 222.1	(80% identical neighborhood = 1.000 samples)
iter	time	cond	fx	-loglk	||h||	||e||
1	0.0	20.19	8652.5	8622.4	31.8	1.0
2	0.0	53.82	7876.3	6867.5	31.9	7.1
3	0.1	16.35	7162.9	6115.3	31.9	7.2
4	0.1	7.63	7057.8	6171.0	31.9	6.6
5	0.1	5.70	7018.2	6183.4	31.9	6.4
6	0.1	6.52	6973.7	6130.0	31.9	6.5
7	0.1	7.59	6908.5	5940.7	31.9	6.9
8	0.1	9.70	6889.0	5777.7	31.9	7.4
9	0.1	2.27	6867.1	5753.8	31.9	7.4
10	0.2	1.57	6864.0	5748.8	32.0	7.4
11	0.2	1.76	6860.0	5741.7	32.0	7.4
12	0.2	1.75	6855.1	5732.9	32.0	7.5
13	0.2	1.98	6853.6	5729.1	32.0	7.5
14	0.2	0.81	6851.3	5723.8	32.0	7.5
15	0.2	0.56	6850.5	5722.5	32.0	7.5
16	0.2	0.80	6850.1	5721.4	32.0	7.5
17	0.3	0.55	6849.7	5720.7	32.0	7.5
18	0.3	0.42	6849.5	5719.8	32.1	7.5
19	0.3	0.40	6849.2	5717.2	32.1	7.5
20	0.3	0.99	6849.1	5714.1	32.1	7.5
21	0.3	0.43	6848.9	5713.8	32.1	7.5
22	0.3	0.30	6848.7	5712.8	32.1	7.5
23	0.3	0.39	6848.6	5711.6	32.1	7.5
24	0.4	0.52	6848.3	5709.2	32.2	7.5
25	0.4	1.08	6847.9	5704.8	32.3	7.5
26	0.4	0.69	6847.3	5700.7	32.4	7.5
27	0.4	0.60	6846.6	5698.6	32.6	7.5
28	0.4	1.01	6845.5	5696.0	32.8	7.5
29	0.4	1.33	6844.5	5694.0	33.1	7.5
30	0.4	1.05	6843.2	5693.6	33.3	7.5
31	0.5	1.08	6840.7	5693.1	33.8	7.5
32	0.5	1.43	6838.6	5693.8	34.3	7.5
33	0.5	1.93	6836.4	5696.0	35.4	7.5
34	0.5	0.99	6834.0	5695.8	35.6	7.5
35	0.5	0.89	6832.0	5697.2	35.9	7.5
36	0.5	0.86	6830.7	5699.2	36.3	7.5
37	0.5	1.16	6829.7	5701.5	36.8	7.5
38	0.6	0.51	6828.8	5702.8	37.1	7.5
39	0.6	0.44	6828.4	5702.9	37.2	7.5
40	0.6	0.59	6828.0	5702.6	37.4	7.5
41	0.6	0.36	6827.8	5701.9	37.5	7.5
42	0.6	0.27	6827.6	5701.0	37.5	7.5
43	0.6	0.28	6827.5	5699.0	37.6	7.5
44	0.6	0.44	6827.4	5696.5	37.7	7.5
45	0.7	0.20	6827.3	5695.9	37.7	7.5
46	0.7	0.16	6827.3	5694.9	37.7	7.5
47	0.7	0.18	6827.2	5693.3	37.8	7.5
48	0.7	0.35	6827.1	5689.0	37.9	7.5
49	0.7	0.33	6827.0	5684.0	38.1	7.5
50	0.7	0.22	6826.9	5683.5	38.1	7.5
Gradient optimization: MAXIMUMITERATION
